DIA,Tratamiento,Other,Acidobacteria,Actinobacteria,Armatimonadetes,BRC1,Bacteroidetes,Chloroflexi,Cyanobacteria,Elusimicrobia,Firmicutes,Gemmatimonadetes,MVP-21,Nitrospirae,OP11,OP3,Planctomycetes,Proteobacteria,TM6,TM7,Thermi,Verrucomicrobia,WS2,WS3,WYO
0,FUM,0.00232288,0.066202091,0.101045296,0,0,0.055749129,0.059233449,0.00116144,0,0.134727062,0.06155633,0,0.029036005,0.005807201,0,0.008130081,0.471544715,0,0,0,0.003484321,0,0,0
0,FUM,0.01350278,0.061953932,0.14853058,0,0.004765687,0.019857029,0.046862589,0,0,0.215250199,0.049245433,0,0.036536934,0.000794281,0,0.003971406,0.394757744,0,0,0.003971406,0,0,0,0
0,FUM,0.009433962,0.109014675,0.071278826,0.001048218,0.009433962,0.092243187,0.06918239,0.001048218,0,0.107966457,0.038784067,0,0.014675052,0,0,0.012578616,0.460167715,0,0.001048218,0,0,0,0.002096436,0
0,NOFUM,0.019607843,0.172699849,0.081447964,0.003016591,0.000754148,0.154600302,0.055806938,0,0,0.046757164,0.037707391,0,0.018853695,0,0,0.003770739,0.401206637,0,0,0,0.003770739,0,0,0
0,NOFUM,0.01322199,0.160055672,0.100208768,0.005567154,0.000695894,0.114822547,0.066805846,0.000695894,0,0.050800278,0.036882394,0,0.009742519,0,0,0.002783577,0.434237996,0,0,0,0.002783577,0,0.000695894,0
0,NOFUM,0,0.098684211,0.088815789,0,0,0.125,0.111842105,0,0,0.026315789,0.052631579,0,0.013157895,0,0,0.006578947,0.476973684,0,0,0,0,0,0,0
1,FUM,0.002592913,0.017286085,0.024200519,0,0,0.021607606,0.012100259,0,0,0.601555748,0.01642178,0,0.000864304,0,0,0.000864304,0.300777874,0,0.000864304,0,0.000864304,0,0,0
1,FUM,0.021035599,0.024271845,0.033980583,0,0,0.01618123,0.011326861,0.001618123,0,0.71197411,0.006472492,0,0,0,0,0.006472492,0.165048544,0,0,0,0,0.001618123,0,0
1,FUM,0,0.017857143,0.058673469,0,0,0.005102041,0.012755102,0,0,0.660714286,0.012755102,0,0.048469388,0,0,0,0.181122449,0,0,0,0.00255102,0,0,0
1,NOFUM,0.016161616,0.128619529,0.045791246,0.003367003,0.001346801,0.187878788,0.03973064,0.000673401,0,0.082154882,0.022895623,0,0.011447811,0,0,0.012794613,0.435690236,0,0,0,0.004040404,0,0,0.007407407
1,NOFUM,0.014810752,0.140976413,0.074053758,0.003291278,0,0.185408667,0.053757543,0.004388371,0.000548546,0.066374109,0.038398245,0,0.019199122,0,0,0.01206802,0.37739989,0,0,0,0.009325288,0,0,0
1,NOFUM,0.010195412,0.145284622,0.086661003,0.005097706,0,0.212404418,0.061172472,0,0,0.066270178,0.027187766,0,0.010195412,0,0,0.005947324,0.366185217,0,0,0,0.003398471,0,0,0
5,FUM,0,0,0.160714286,0,0,0.00297619,0.005952381,0,0,0.651785714,0.014880952,0,0.011904762,0,0,0,0.148809524,0,0,0,0.00297619,0,0,0
5,FUM,0,0.003058104,0.171253823,0,0,0.01529052,0.009174312,0.009174312,0,0.50764526,0.027522936,0,0.006116208,0,0,0,0.241590214,0,0.006116208,0.003058104,0,0,0,0
5,FUM,0.002162162,0.022702703,0.174054054,0,0,0.004324324,0.007567568,0.001081081,0,0.615135135,0.011891892,0,0.008648649,0,0,0.001081081,0.151351351,0,0,0,0,0,0,0
5,NOFUM,0.003335186,0.097276265,0.109505281,0.001111729,0,0.093385214,0.056698166,0.002223457,0.000555864,0.03946637,0.05725403,0,0.011117287,0.001111729,0.001667593,0.014452474,0.503057254,0,0,0.000555864,0.007226237,0,0,0
5,NOFUM,0.006877579,0.127922971,0.118982118,0.006189821,0,0.129986245,0.041265475,0.002063274,0,0.079779917,0.038514443,0,0.007565337,0.000687758,0,0.022008253,0.416093535,0,0,0,0.002063274,0,0,0
5,NOFUM,0.004424779,0.110619469,0.181415929,0.001474926,0,0.110619469,0.038348083,0,0,0.09439528,0.066371681,0,0.013274336,0,0,0,0.379056047,0,0,0,0,0,0,0
10,FUM,0.001761339,0.004403347,0.121532365,0.000440335,0,0.021136063,0.000880669,0,0,0.56010568,0.010127697,0,0.000440335,0,0,0.001321004,0.277851167,0,0,0,0,0,0,0
10,FUM,0.003189793,0.014354067,0.138755981,0,0,0.001594896,0,0.003189793,0,0.63476874,0.009569378,0,0.005582137,0,0,0,0.188995215,0,0,0,0,0,0,0
10,FUM,0,0,0.149677419,0,0,0.023225806,0.003870968,0,0,0.59483871,0.012903226,0,0.001290323,0,0,0,0.212903226,0.001290323,0,0,0,0,0,0
10,NOFUM,0.007597341,0.1671415,0.064577398,0.013295347,0.000949668,0.11348528,0.095441595,0.000949668,0.001424501,0.054605888,0.036087369,0,0.014245014,0.001899335,0,0.013295347,0.411206078,0,0,0,0.002849003,0,0,0.000949668
10,NOFUM,0.008858268,0.147637795,0.108267717,0.006889764,0,0.101377953,0.070866142,0,0.000984252,0.025590551,0.059055118,0,0.021653543,0,0,0.002952756,0.441929134,0,0,0,0,0,0,0.003937008
10,NOFUM,0.007237636,0.139927624,0.062726176,0.012062726,0,0.091676719,0.080820265,0,0,0.075995175,0.032569361,0.003618818,0.012062726,0,0,0.013268999,0.466827503,0,0,0,0.001206273,0,0,0
